frame,dataindex,datetime,lat,lon,hspeed,alt,track,gpstime,mode,heading,pitch,roll,sys,gyro,accel,temp_c,xl,yl,zl,xg,yg,zg
0,0,2018-06-03 07:40:46.565698,32.792819135,-117.092588365,0.341,55.147,330.9641,2018-06-03 07:40:47-07:00,3,359.9375,-102.375,1.75,0,0,0,31,0.07,0.1,0.07,0.3,9.57,-2.1
3,1,2018-06-03 07:40:46.849522,32.792819135,-117.092588365,0.341,55.147,330.9641,2018-06-03 07:40:47-07:00,3,359.9375,-102.375,1.75,0,3,0,31,0.06,0.12,0.06,0.3,9.57,-2.1
6,2,2018-06-03 07:40:46.952779,32.792819135,-117.092588365,0.341,55.147,330.9641,2018-06-03 07:40:47-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,-0.01,0.04,0.3,9.57,-2.1
8,3,2018-06-03 07:40:47.056106,32.792819135,-117.092588365,0.341,55.147,330.9641,2018-06-03 07:40:47-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.0,0.05,0.3,9.57,-2.1
10,4,2018-06-03 07:40:47.159939,32.792819135,-117.092588365,0.341,55.147,330.9641,2018-06-03 07:40:47-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.0,0.05,0.3,9.57,-2.1
13,5,2018-06-03 07:40:47.263964,32.792819135,-117.092588365,0.341,55.147,330.9641,2018-06-03 07:40:47-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.0,0.03,0.3,9.57,-2.1
15,6,2018-06-03 07:40:47.367287,32.792819135,-117.092588365,0.341,55.147,330.9641,2018-06-03 07:40:47-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.02,0.03,0.3,9.57,-2.1
18,7,2018-06-03 07:40:47.474768,32.792828939,-117.092578861,0.49,55.305,27.3277,2018-06-03 07:40:48-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.02,0.03,0.3,9.57,-2.1
21,8,2018-06-03 07:40:47.587184,32.792828939,-117.092578861,0.49,55.305,27.3277,2018-06-03 07:40:48-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.0,0.04,0.3,9.57,-2.1
23,9,2018-06-03 07:40:47.691788,32.792828939,-117.092578861,0.49,55.305,27.3277,2018-06-03 07:40:48-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.01,0.03,0.3,9.57,-2.1
26,10,2018-06-03 07:40:47.795622,32.792828939,-117.092578861,0.49,55.305,27.3277,2018-06-03 07:40:48-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.0,0.05,0.3,9.57,-2.1
28,11,2018-06-03 07:40:47.906446,32.792828939,-117.092578861,0.49,55.305,27.3277,2018-06-03 07:40:48-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.0,0.05,0.3,9.57,-2.1
31,12,2018-06-03 07:40:48.016410,32.792828939,-117.092578861,0.49,55.305,27.3277,2018-06-03 07:40:48-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.06,0.0,0.06,0.3,9.57,-2.1
34,13,2018-06-03 07:40:48.123664,32.792828939,-117.092578861,0.49,55.305,27.3277,2018-06-03 07:40:48-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.06,0.0,0.06,0.3,9.57,-2.1
36,14,2018-06-03 07:40:48.237538,32.792828939,-117.092578861,0.49,55.305,27.3277,2018-06-03 07:40:48-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.02,0.05,0.3,9.57,-2.1
39,15,2018-06-03 07:40:48.341416,32.792828939,-117.092578861,0.49,55.305,27.3277,2018-06-03 07:40:48-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.01,0.04,0.3,9.57,-2.1
41,16,2018-06-03 07:40:48.445736,32.792828939,-117.092578861,0.49,55.305,27.3277,2018-06-03 07:40:48-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.01,0.04,0.3,9.57,-2.1
44,17,2018-06-03 07:40:48.551356,32.792828939,-117.092578861,0.49,55.305,27.3277,2018-06-03 07:40:48-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.0,0.04,0.3,9.57,-2.1
46,18,2018-06-03 07:40:48.655154,32.792828939,-117.092578861,0.49,55.305,27.3277,2018-06-03 07:40:48-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.0,0.03,0.3,9.57,-2.1
49,19,2018-06-03 07:40:48.761803,32.792828939,-117.092578861,0.49,55.305,27.3277,2018-06-03 07:40:48-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.0,0.03,0.3,9.57,-2.1
51,20,2018-06-03 07:40:48.865900,32.792828939,-117.092578861,0.49,55.305,27.3277,2018-06-03 07:40:48-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.01,0.0,0.01,0.3,9.57,-2.1
54,21,2018-06-03 07:40:48.972774,32.792828939,-117.092578861,0.49,55.305,27.3277,2018-06-03 07:40:48-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.02,0.03,0.02,0.3,9.57,-2.1
56,22,2018-06-03 07:40:49.077053,32.792836519,-117.092578861,0.769,55.847,46.6233,2018-06-03 07:40:49-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.02,0.03,0.02,0.3,9.57,-2.1
59,23,2018-06-03 07:40:49.180756,32.792836519,-117.092578861,0.769,55.847,46.6233,2018-06-03 07:40:49-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.02,0.0,0.02,0.3,9.57,-2.1
62,24,2018-06-03 07:40:49.284005,32.792836519,-117.092578861,0.769,55.847,46.6233,2018-06-03 07:40:49-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.0,0.03,0.3,9.57,-2.1
65,25,2018-06-03 07:40:49.388061,32.792836519,-117.092578861,0.769,55.847,46.6233,2018-06-03 07:40:49-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.0,0.03,0.3,9.57,-2.1
67,26,2018-06-03 07:40:49.498693,32.792836519,-117.092578861,0.769,55.847,46.6233,2018-06-03 07:40:49-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.0,0.04,0.3,9.57,-2.1
70,27,2018-06-03 07:40:49.603474,32.792834395,-117.092564495,0.595,56.212,48.776,2018-06-03 07:40:50-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.01,0.03,0.3,9.57,-2.1
72,28,2018-06-03 07:40:49.707138,32.792834395,-117.092564495,0.595,56.212,48.776,2018-06-03 07:40:50-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.02,0.0,0.02,0.3,9.57,-2.1
75,29,2018-06-03 07:40:49.812290,32.792834395,-117.092564495,0.595,56.212,48.776,2018-06-03 07:40:50-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.02,0.0,0.02,0.3,9.57,-2.1
77,30,2018-06-03 07:40:49.915858,32.792834395,-117.092564495,0.595,56.212,48.776,2018-06-03 07:40:50-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.01,0.04,0.3,9.57,-2.1
80,31,2018-06-03 07:40:50.026926,32.792834395,-117.092564495,0.595,56.212,48.776,2018-06-03 07:40:50-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.0,0.03,0.3,9.57,-2.1
83,32,2018-06-03 07:40:50.131595,32.792834395,-117.092564495,0.595,56.212,48.776,2018-06-03 07:40:50-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.02,0.0,0.02,0.3,9.57,-2.1
85,33,2018-06-03 07:40:50.235791,32.792834395,-117.092564495,0.595,56.212,48.776,2018-06-03 07:40:50-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.01,0.03,0.3,9.57,-2.1
88,34,2018-06-03 07:40:50.340419,32.792834395,-117.092564495,0.595,56.212,48.776,2018-06-03 07:40:50-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.01,0.03,0.3,9.57,-2.1
90,35,2018-06-03 07:40:50.443547,32.792834395,-117.092564495,0.595,56.212,48.776,2018-06-03 07:40:50-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.02,0.02,0.02,0.3,9.57,-2.1
93,36,2018-06-03 07:40:50.547454,32.792841975,-117.092564495,0.255,56.754,61.8538,2018-06-03 07:40:51-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.0,0.05,0.3,9.57,-2.1
95,37,2018-06-03 07:40:50.651597,32.792841975,-117.092564495,0.255,56.754,61.8538,2018-06-03 07:40:51-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.0,0.05,0.3,9.57,-2.1
98,38,2018-06-03 07:40:50.755404,32.792841975,-117.092564495,0.255,56.754,61.8538,2018-06-03 07:40:51-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.0,0.03,0.3,9.57,-2.1
100,39,2018-06-03 07:40:50.858524,32.792841975,-117.092564495,0.255,56.754,61.8538,2018-06-03 07:40:51-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.02,0.04,0.3,9.57,-2.1
103,40,2018-06-03 07:40:50.962002,32.792841975,-117.092564495,0.255,56.754,61.8538,2018-06-03 07:40:51-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.02,0.04,0.3,9.57,-2.1
105,41,2018-06-03 07:40:51.070753,32.792841975,-117.092564495,0.255,56.754,61.8538,2018-06-03 07:40:51-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.02,0.01,0.02,0.3,9.57,-2.1
108,42,2018-06-03 07:40:51.174503,32.792841975,-117.092564495,0.255,56.754,61.8538,2018-06-03 07:40:51-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.0,0.04,0.3,9.57,-2.1
110,43,2018-06-03 07:40:51.277703,32.792841975,-117.092564495,0.255,56.754,61.8538,2018-06-03 07:40:51-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.0,0.05,0.3,9.57,-2.1
113,44,2018-06-03 07:40:51.381279,32.792841975,-117.092564495,0.255,56.754,61.8538,2018-06-03 07:40:51-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.0,0.05,0.3,9.57,-2.1
115,45,2018-06-03 07:40:51.485477,32.792841975,-117.092564495,0.255,56.754,61.8538,2018-06-03 07:40:51-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.0,0.03,0.3,9.57,-2.1
118,46,2018-06-03 07:40:51.590581,32.792841975,-117.092564495,0.255,56.754,61.8538,2018-06-03 07:40:51-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.0,0.05,0.3,9.57,-2.1
120,47,2018-06-03 07:40:51.694620,32.792841975,-117.092564495,0.255,56.754,61.8538,2018-06-03 07:40:51-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.0,0.05,0.3,9.57,-2.1
124,48,2018-06-03 07:40:51.811089,32.792841975,-117.092564495,0.255,56.754,61.8538,2018-06-03 07:40:51-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.02,0.05,0.3,9.57,-2.1
126,49,2018-06-03 07:40:51.916677,32.792841975,-117.092564495,0.255,56.754,61.8538,2018-06-03 07:40:51-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.02,0.01,0.02,0.3,9.57,-2.1
129,50,2018-06-03 07:40:52.025309,32.792839751,-117.092573999,0.624,57.137,280.7336,2018-06-03 07:40:52-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.0,0.05,0.3,9.57,-2.1
132,51,2018-06-03 07:40:52.129633,32.792839751,-117.092573999,0.624,57.137,280.7336,2018-06-03 07:40:52-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.0,0.05,0.3,9.57,-2.1
134,52,2018-06-03 07:40:52.233255,32.792839751,-117.092573999,0.624,57.137,280.7336,2018-06-03 07:40:52-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.0,0.03,0.3,9.57,-2.1
137,53,2018-06-03 07:40:52.337311,32.792839751,-117.092573999,0.624,57.137,280.7336,2018-06-03 07:40:52-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.01,0.04,0.3,9.57,-2.1
139,54,2018-06-03 07:40:52.441803,32.792839751,-117.092573999,0.624,57.137,280.7336,2018-06-03 07:40:52-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.01,0.04,0.3,9.57,-2.1
142,55,2018-06-03 07:40:52.551509,32.792839751,-117.092573999,0.624,57.137,280.7336,2018-06-03 07:40:52-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.02,0.03,0.3,9.57,-2.1
144,56,2018-06-03 07:40:52.654936,32.792837527,-117.092583503,1.022,57.52,280.6662,2018-06-03 07:40:53-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.0,0.04,0.3,9.57,-2.1
147,57,2018-06-03 07:40:52.758567,32.792837527,-117.092583503,1.022,57.52,280.6662,2018-06-03 07:40:53-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.0,0.04,0.3,9.57,-2.1
149,58,2018-06-03 07:40:52.862437,32.792837527,-117.092583503,1.022,57.52,280.6662,2018-06-03 07:40:53-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.0,0.04,0.3,9.57,-2.1
152,59,2018-06-03 07:40:52.967151,32.792837527,-117.092583503,1.022,57.52,280.6662,2018-06-03 07:40:53-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,-0.01,0.04,0.3,9.57,-2.1
154,60,2018-06-03 07:40:53.070674,32.792837527,-117.092583503,1.022,57.52,280.6662,2018-06-03 07:40:53-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.02,0.03,0.02,0.3,9.57,-2.1
157,61,2018-06-03 07:40:53.174848,32.792837527,-117.092583503,1.022,57.52,280.6662,2018-06-03 07:40:53-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.0,0.05,0.3,9.57,-2.1
159,62,2018-06-03 07:40:53.278169,32.792837527,-117.092583503,1.022,57.52,280.6662,2018-06-03 07:40:53-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.0,0.05,0.3,9.57,-2.1
162,63,2018-06-03 07:40:53.383352,32.792837527,-117.092583503,1.022,57.52,280.6662,2018-06-03 07:40:53-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.06,0.0,0.06,0.3,9.57,-2.1
164,64,2018-06-03 07:40:53.487850,32.792837527,-117.092583503,1.022,57.52,280.6662,2018-06-03 07:40:53-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.06,0.0,0.06,0.3,9.57,-2.1
167,65,2018-06-03 07:40:53.593935,32.792842883,-117.092593007,0.68,58.444,281.0374,2018-06-03 07:40:54-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.0,0.04,0.3,9.57,-2.1
169,66,2018-06-03 07:40:53.697622,32.792842883,-117.092593007,0.68,58.444,281.0374,2018-06-03 07:40:54-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.0,0.04,0.3,9.57,-2.1
172,67,2018-06-03 07:40:53.801717,32.792842883,-117.092593007,0.68,58.444,281.0374,2018-06-03 07:40:54-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.02,0.05,0.3,9.57,-2.1
174,68,2018-06-03 07:40:53.905316,32.792842883,-117.092593007,0.68,58.444,281.0374,2018-06-03 07:40:54-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.01,0.03,0.3,9.57,-2.1
177,69,2018-06-03 07:40:54.010506,32.792842883,-117.092593007,0.68,58.444,281.0374,2018-06-03 07:40:54-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.01,0.03,0.3,9.57,-2.1
179,70,2018-06-03 07:40:54.122136,32.792842883,-117.092593007,0.68,58.444,281.0374,2018-06-03 07:40:54-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.02,0.03,0.3,9.57,-2.1
182,71,2018-06-03 07:40:54.226940,32.792842883,-117.092593007,0.68,58.444,281.0374,2018-06-03 07:40:54-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.0,0.05,0.3,9.57,-2.1
185,72,2018-06-03 07:40:54.331108,32.792842883,-117.092593007,0.68,58.444,281.0374,2018-06-03 07:40:54-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.08,-0.01,0.08,0.3,9.57,-2.1
188,73,2018-06-03 07:40:54.434822,32.792842883,-117.092593007,0.68,58.444,281.0374,2018-06-03 07:40:54-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.08,-0.01,0.08,0.3,9.57,-2.1
191,74,2018-06-03 07:40:54.541132,32.792842883,-117.092593007,0.68,58.444,281.0374,2018-06-03 07:40:54-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.07,0.01,0.07,0.3,9.57,-2.1
193,75,2018-06-03 07:40:54.645007,32.792842883,-117.092593007,0.68,58.444,281.0374,2018-06-03 07:40:54-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.01,0.05,0.3,9.57,-2.1
195,76,2018-06-03 07:40:54.750108,32.792842883,-117.092593007,0.68,58.444,281.0374,2018-06-03 07:40:54-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.01,0.05,0.3,9.57,-2.1
198,77,2018-06-03 07:40:54.857537,32.792842883,-117.092593007,0.68,58.444,281.0374,2018-06-03 07:40:54-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.01,0.02,0.01,0.3,9.57,-2.1
200,78,2018-06-03 07:40:54.961394,32.792842883,-117.092593007,0.422,58.444,328.1776,2018-06-03 07:40:55-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.02,-0.01,0.02,0.3,9.57,-2.1
203,79,2018-06-03 07:40:55.064629,32.792842883,-117.092593007,0.422,58.444,328.1776,2018-06-03 07:40:55-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.02,-0.01,0.02,0.3,9.57,-2.1
205,80,2018-06-03 07:40:55.168010,32.792842883,-117.092593007,0.422,58.444,328.1776,2018-06-03 07:40:55-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.01,0.03,0.3,9.57,-2.1
208,81,2018-06-03 07:40:55.272852,32.792842883,-117.092593007,0.422,58.444,328.1776,2018-06-03 07:40:55-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.0,0.05,0.3,9.57,-2.1
210,82,2018-06-03 07:40:55.377616,32.792842883,-117.092593007,0.422,58.444,328.1776,2018-06-03 07:40:55-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.0,0.05,0.3,9.57,-2.1
213,83,2018-06-03 07:40:55.491497,32.792840659,-117.092602512,0.429,58.827,294.4809,2018-06-03 07:40:56-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.01,0.04,0.3,9.57,-2.1
216,84,2018-06-03 07:40:55.609279,32.792840659,-117.092602512,0.429,58.827,294.4809,2018-06-03 07:40:56-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.02,0.02,0.02,0.3,9.57,-2.1
219,85,2018-06-03 07:40:55.712491,32.792840659,-117.092602512,0.429,58.827,294.4809,2018-06-03 07:40:56-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.02,0.0,0.02,0.3,9.57,-2.1
221,86,2018-06-03 07:40:55.816456,32.792840659,-117.092602512,0.429,58.827,294.4809,2018-06-03 07:40:56-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.01,0.04,0.3,9.57,-2.1
224,87,2018-06-03 07:40:55.921445,32.792840659,-117.092602512,0.429,58.827,294.4809,2018-06-03 07:40:56-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.01,0.04,0.3,9.57,-2.1
226,88,2018-06-03 07:40:56.028971,32.792840659,-117.092602512,0.429,58.827,294.4809,2018-06-03 07:40:56-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.01,0.04,0.3,9.57,-2.1
229,89,2018-06-03 07:40:56.133788,32.792840659,-117.092602512,0.429,58.827,294.4809,2018-06-03 07:40:56-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.0,0.03,0.3,9.57,-2.1
231,90,2018-06-03 07:40:56.236991,32.792840659,-117.092602512,0.429,58.827,294.4809,2018-06-03 07:40:56-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.01,0.03,0.3,9.57,-2.1
234,91,2018-06-03 07:40:56.344721,32.792840659,-117.092602512,0.429,58.827,294.4809,2018-06-03 07:40:56-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.01,0.03,0.3,9.57,-2.1
236,92,2018-06-03 07:40:56.450356,32.792840659,-117.092602512,0.429,58.827,294.4809,2018-06-03 07:40:56-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.01,0.04,0.3,9.57,-2.1
239,93,2018-06-03 07:40:56.566383,32.792845006,-117.092607374,0.572,58.079,359.7421,2018-06-03 07:40:57-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.04,0.01,0.04,0.3,9.57,-2.1
241,94,2018-06-03 07:40:56.669726,32.792845006,-117.092607374,0.572,58.079,359.7421,2018-06-03 07:40:57-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.01,0.05,0.3,9.57,-2.1
245,95,2018-06-03 07:40:56.776599,32.792845006,-117.092607374,0.572,58.079,359.7421,2018-06-03 07:40:57-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.01,0.05,0.3,9.57,-2.1
248,96,2018-06-03 07:40:56.881867,32.792845006,-117.092607374,0.572,58.079,359.7421,2018-06-03 07:40:57-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.02,0.01,0.02,0.3,9.57,-2.1
250,97,2018-06-03 07:40:56.985062,32.792845006,-117.092607374,0.572,58.079,359.7421,2018-06-03 07:40:57-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.05,0.0,0.05,0.3,9.57,-2.1
252,98,2018-06-03 07:40:57.088407,32.792845006,-117.092607374,0.572,58.079,359.7421,2018-06-03 07:40:57-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.01,0.03,0.3,9.57,-2.1
255,99,2018-06-03 07:40:57.192247,32.792845006,-117.092607374,0.572,58.079,359.7421,2018-06-03 07:40:57-07:00,3,359.9375,-102.375,1.75,0,3,1,31,0.03,0.01,0.03,0.3,9.57,-2.1
